target,trait,outer_fold,global_pls_preprocessing,global_pls_components,global_pls_cv_rmse,global_pls_component_lower_boundary,global_pls_component_upper_boundary,global_pls_component_boundary,domain_pls_preprocessing,domain_pls_components,domain_pls_cv_rmse,domain_pls_component_lower_boundary,domain_pls_component_upper_boundary,domain_pls_component_boundary,svr_preprocessing,svr_C,svr_gamma_factor,svr_epsilon_z,svr_cv_rmse,svr_C_boundary,svr_gamma_boundary,svr_epsilon_boundary,domain_svr_degradation_vs_pls_pct,kernel_weight,selected_variant,selection_uses_outer_test_labels
flesh_force_mean_g_mean,MFF,3,sg1,12,48.650696099075496,False,False,False,snv,1,40.381868294461135,True,False,True,raw,30.0,0.25,1.5,39.73579758184674,False,False,False,-1.5999029760171202,0.5,deep_kernel,False
flesh_force_mean_g_mean,MFF,4,sg1,12,48.44310688121664,False,False,False,snv,1,40.370963650811554,True,False,True,raw,30.0,0.25,0.8,39.764825402313186,False,False,False,-1.501421303046313,0.5,deep_kernel,False
flesh_force_mean_g_mean,MFF,5,sg1,12,48.61136725137167,False,False,False,snv,1,40.63239279004404,True,False,True,sg1,0.3,0.02,1.5,40.28068784348618,False,False,False,-0.8655777383704488,0.5,deep_kernel,False
skin_break_drop_g_mean,PFD,1,raw,12,221.43798266114072,False,False,False,sg1,1,164.76647836207042,True,False,True,sg1,0.3,0.01,0.8,161.27951174413906,False,False,False,-2.1163082761706087,0.5,deep_kernel,False
skin_break_drop_g_mean,PFD,2,raw,12,219.75564925474285,False,False,False,sg1,1,163.42561304785602,True,False,True,sg1,0.3,0.01,0.8,160.6817008393388,False,False,False,-1.6789976536381257,0.5,deep_kernel,False
skin_break_drop_g_mean,PFD,3,raw,12,221.20150937788225,False,False,False,sg1,1,164.1221404843671,True,False,True,sg1,0.3,0.01,0.8,160.52772417231125,False,False,False,-2.1900861769458935,0.5,deep_kernel,False
skin_break_drop_g_mean,PFD,4,raw,12,221.24752558008583,False,False,False,sg1,1,165.0706511997735,True,False,True,sg1,0.3,0.01,0.8,161.1997466760144,False,False,False,-2.3449986388400457,0.5,deep_kernel,False
skin_break_drop_g_mean,PFD,5,raw,12,220.66504527984836,False,False,False,sg1,1,163.13843452804585,True,False,True,sg1,0.3,0.01,0.8,159.8445288044986,False,False,False,-2.0190862644210217,0.5,deep_kernel,False
post_break_work_g_rawpos_mean,PRW,1,raw,12,531.283493824474,False,False,False,snv_sg1,3,437.1754836348768,False,False,False,sg1,0.3,0.1,0.8,425.95108178161877,False,False,False,-2.5674820005763377,0.5,deep_kernel,False
post_break_work_g_rawpos_mean,PRW,2,raw,12,529.9701042104093,False,False,False,snv_sg1,3,440.52609262089715,False,False,False,sg1,0.3,0.1,1.5,427.4874498496369,False,False,False,-2.9597889863202442,0.5,deep_kernel,False
post_break_work_g_rawpos_mean,PRW,3,raw,12,530.2979438747899,False,False,False,snv_sg1,3,438.6565283804159,False,False,False,sg1,0.3,0.1,1.5,424.82806720477424,False,False,False,-3.1524576248069036,0.5,deep_kernel,False
post_break_work_g_rawpos_mean,PRW,4,raw,12,526.1220260246539,False,False,False,snv_sg1,3,434.74817642065454,False,False,False,sg1,0.3,0.1,1.5,421.8192352001587,False,False,False,-2.9738919958081755,0.5,deep_kernel,False
post_break_work_g_rawpos_mean,PRW,5,raw,12,531.1566215151571,False,False,False,snv_sg1,3,440.14354493392125,False,False,False,sg1,0.3,0.25,1.5,423.164105676572,False,False,False,-3.857704935760986,0.5,deep_kernel,False
skin_break_displacement_raw_mean,RD,1,raw,8,0.5876591495528913,False,False,False,raw,7,0.5232308733896003,False,False,False,raw,900.0,0.05,0.6,0.5153342724034056,False,False,False,-1.5092001232723251,0.5,deep_kernel,False
skin_break_displacement_raw_mean,RD,2,raw,8,0.5900049404945107,False,False,False,raw,7,0.522789549612697,False,False,False,raw,100.0,0.25,0.6,0.5097960596961261,False,False,False,-2.48541500613334,0.5,deep_kernel,False
skin_break_displacement_raw_mean,RD,3,raw,8,0.586391624900762,False,False,False,raw,7,0.5248159832724101,False,False,False,raw,300.0,0.1,0.08,0.5135006119048857,False,False,False,-2.156064549895964,0.5,deep_kernel,False
skin_break_displacement_raw_mean,RD,4,raw,8,0.5802885059598569,False,False,False,raw,7,0.5145139918244687,False,False,False,raw,100.0,0.25,0.6,0.5056354655744111,False,False,False,-1.7256141506617362,0.5,deep_kernel,False
skin_break_displacement_raw_mean,RD,5,raw,8,0.5890192582585738,False,False,False,raw,7,0.5265819088086764,False,False,False,raw,300.0,0.05,0.3,0.5189115695518225,False,False,False,-1.4566279487662315,0.5,deep_kernel,False
skin_break_force_g_mean,SRF,1,raw,12,230.96827210099974,False,False,False,sg1,1,174.3761390783155,True,False,True,sg1,0.3,0.01,0.6,166.96911118109568,False,False,False,-4.247730186234477,0.5,deep_kernel,False
skin_break_force_g_mean,SRF,2,raw,12,230.04152893343152,False,False,False,sg1,1,175.18004868103247,True,False,True,sg1,0.3,0.01,0.8,167.14171826478184,False,False,False,-4.588610676143157,0.5,deep_kernel,False
skin_break_force_g_mean,SRF,3,raw,12,230.9497633109754,False,False,False,sg1,1,171.0844824029416,True,False,True,sg1,0.3,0.01,1.5,166.54834526625666,False,False,False,-2.6514018530338412,0.5,deep_kernel,False
skin_break_force_g_mean,SRF,4,raw,12,231.24562366913102,False,False,False,sg1,1,173.28001346187648,True,False,True,sg1,0.3,0.01,0.8,167.28602201329278,False,False,False,-3.4591360704749996,0.5,deep_kernel,False
skin_break_force_g_mean,SRF,5,raw,12,230.66787599913275,False,False,False,sg1,1,172.24963165875786,True,False,True,sg1,0.3,0.01,0.8,165.89851159197113,False,False,False,-3.6871603182112356,0.5,deep_kernel,False
fruit_weight_g,FW,1,raw,8,25.059654334198783,False,False,False,raw,2,12.310078493788597,False,False,False,raw,0.3,0.01,0.8,12.386987748352034,False,False,False,0.6247665650730427,0.5,deep_kernel,False
fruit_weight_g,FW,2,raw,8,24.928142665622875,False,False,False,raw,2,12.358864777663017,False,False,False,raw,0.3,0.01,0.8,12.410960821065364,False,False,False,0.421527740124672,0.5,deep_kernel,False
fruit_weight_g,FW,3,raw,8,25.20977794555609,False,False,False,raw,2,12.594889966972756,False,False,False,raw,0.3,0.02,0.8,12.66802339948976,False,False,False,0.5806595588272678,0.5,deep_kernel,False
fruit_weight_g,FW,4,raw,8,25.063791276728406,False,False,False,raw,2,12.358652501704066,False,False,False,raw,0.3,0.01,0.8,12.428726333521789,False,False,False,0.5670022019638621,0.5,deep_kernel,False
fruit_weight_g,FW,5,raw,8,24.97746303763504,False,False,False,raw,2,12.36316477811792,False,False,False,raw,0.3,0.02,0.8,12.455864529769812,False,False,False,0.7498060028769071,0.5,deep_kernel,False
