model,trait,shots,adapter,aggregation,repeats,n_evaluation_mean,rmse_mean,rmse_sd,rmse_ci025,rmse_ci975,r2_mean,r2_sd,r2_ci025,r2_ci975,ccc_mean,ccc_ci025,ccc_ci975,rmse_gain_pct_mean,rmse_gain_pct_ci025,rmse_gain_pct_ci975
Cultivar-aware PLSR,PRW,10,intercept,batch_macro,500,1206.0,567.9269873076504,15.522952122834091,545.871978472118,602.9786160560946,-0.254695765191019,0.07552403005342874,-0.4317886900103178,-0.15039436951555146,0.005473835373731329,-0.004630964484046754,0.017124384781458658,13.506088524671636,8.160962530751805,16.864885617508367
Cultivar-aware PLSR,PRW,10,intercept,pooled,500,1206.0,609.6811292033606,19.987589831092922,583.5063961428207,658.1323635818042,-0.05497768087345246,0.07246963665086459,-0.23480992585358215,0.034876606824072114,0.18807555118408137,0.060147966588280574,0.2808099262982729,10.444289970210225,2.87449705992894,14.244617839002212
Cultivar-aware PLSR,PRW,10,shrunken_affine,batch_macro,500,1206.0,550.50898394438,16.9862301684066,523.212214991965,588.3470005566918,-0.17563659528551653,0.08129943086522007,-0.3595540104554129,-0.05288013991723006,0.023318980582683505,-0.0013466288739958066,0.049788343554723016,16.244375786851432,10.58292490888823,20.342560171242496
Cultivar-aware PLSR,PRW,10,shrunken_affine,pooled,500,1206.0,590.2936060747049,21.510913008010053,558.2464453227676,638.095670626709,0.010840369278446468,0.07444000800424866,-0.16343388732529776,0.11773734213328765,0.21741310382787252,0.08838544577605727,0.31140508217483415,13.293714476436154,6.026545623999377,17.989036489349957
Cultivar-aware PLSR,PRW,20,intercept,batch_macro,500,1156.0,554.6980786479381,8.941945317746693,541.5152850801614,575.8294927397724,-0.19414222053476948,0.04000534936163548,-0.2967937784400977,-0.133815945642982,0.005398889893131525,-0.006355922717725713,0.018318229871282905,15.504324629574738,12.014667541234466,17.39620543206792
Cultivar-aware PLSR,PRW,20,intercept,pooled,500,1156.0,595.684908936431,10.732971871885084,581.0528965713835,622.8709333428138,-0.004428273060060933,0.03788933932072661,-0.10595768909274633,0.04201657694710843,0.19519964296876643,0.10805523614556839,0.26074246271524026,12.604056531775184,8.233381857502211,14.571784810349536
Cultivar-aware PLSR,PRW,20,shrunken_affine,batch_macro,500,1156.0,529.7433229152366,9.803107953017173,513.308872936945,550.501741692782,-0.08301849161982569,0.042641071777763405,-0.1825943700791469,-0.018291228327312593,0.03229648644649576,0.006460088577905442,0.05274378402749743,19.427132979191242,16.12522655511583,21.713295319352667
Cultivar-aware PLSR,PRW,20,shrunken_affine,pooled,500,1156.0,568.2132538409463,11.795171411005358,550.411305190975,594.2618462734764,0.08601078856793219,0.03869006509709748,-0.002921502042687428,0.14214234012709961,0.24272261522508143,0.15954288674370548,0.3141979291161075,16.635715124678722,12.710855998804236,19.11758097683409
Cultivar-aware PLSR,PRW,40,intercept,batch_macro,500,1056.0,547.9651416261487,6.971396291726189,534.7979257988736,562.4452130327448,-0.16416875978102466,0.024052350424227927,-0.21999428549566177,-0.12609104104366614,0.00531433437309592,-0.01318999319831639,0.02298384824628133,16.511442964119937,14.50180679590702,17.849598394253572
Cultivar-aware PLSR,PRW,40,intercept,pooled,500,1056.0,590.6385462217718,7.673497883834186,577.4031035051569,606.7832566405755,0.01761900658259784,0.0210017012797178,-0.034440167770546516,0.04606635399653601,0.19629518683801805,0.1353671176272201,0.2399794449284793,13.59361734490966,11.303372427154443,14.891423031349033
Cultivar-aware PLSR,PRW,40,shrunken_affine,batch_macro,500,1056.0,517.0657818405258,7.949289184644155,503.25771553104124,535.121328638055,-0.02878983401638871,0.026762379654437795,-0.0900694382063091,0.01265451089511766,0.042147651184795284,0.01673341433865892,0.06245845324449704,21.360367398155205,19.055028635269394,22.9932195074121
Cultivar-aware PLSR,PRW,40,shrunken_affine,pooled,500,1056.0,556.4541936994467,8.841488849224989,541.2109139230097,576.707059287417,0.12800827643877863,0.023214692867495588,0.07524266953454818,0.16219563703868614,0.26236106283728655,0.19549315232340927,0.3063612541782203,18.5959936235775,16.44714491811965,20.197493193218836
Cultivar-aware PLSR,PRW,80,intercept,batch_macro,500,856.0,545.323262251195,8.715609140673672,530.0394647067825,563.2220437702208,-0.15501553438369556,0.02946266608119588,-0.2190249598468696,-0.10138491930838679,0.003938483548659103,-0.026507811427214305,0.0357554343608836,17.01001353280394,14.767400092353661,18.85976297601451
Cultivar-aware PLSR,PRW,80,intercept,pooled,500,856.0,594.3457524563568,7.993625071313788,579.6532751639261,610.9147248549389,0.019818914414033335,0.019427491295568994,-0.021534021696442064,0.05026836538321802,0.18151956235393057,0.1500982282438711,0.20830499091046376,13.835458269015277,11.861420211530936,15.105276896465474
Cultivar-aware PLSR,PRW,80,shrunken_affine,batch_macro,500,856.0,511.0606363915764,8.552147670479416,495.48722019441743,529.2201737351962,-0.004720797190384505,0.019895283684198576,-0.04837329030562961,0.02468797201945111,0.04804774396291342,0.02920186058120023,0.06293656256867801,22.371302254153484,19.85941386738506,24.41110142301586
Cultivar-aware PLSR,PRW,80,shrunken_affine,pooled,500,856.0,555.8588586022388,8.10313081581881,541.3616746145827,573.8152114115851,0.1426622148878946,0.017854425412827998,0.10196135500994194,0.16884939575049956,0.26403869902619365,0.2336683992407306,0.28961636445067973,19.415330772145527,17.264543615300845,20.858119348771115
Cultivar-aware PLSR,RD,0,none,batch_macro,1,1256.0,0.46915690275206756,,0.46915690275206756,0.46915690275206756,-0.6538002242474671,,-0.6538002242474671,-0.6538002242474671,0.10304289228437351,0.10304289228437351,0.10304289228437351,0.0,0.0,0.0
Cultivar-aware PLSR,RD,0,none,pooled,1,1256.0,0.4616214862682707,,0.4616214862682707,0.4616214862682707,-0.4804450458432097,,-0.4804450458432097,-0.4804450458432097,0.13160428507382194,0.13160428507382194,0.13160428507382194,0.0,0.0,0.0
Cultivar-aware PLSR,RD,5,intercept,batch_macro,500,1231.0,0.45533753692407847,0.021030841838328887,0.42475453135458185,0.5025538296676515,-0.5704185996428165,0.16681097059456956,-0.9644993059821341,-0.3439373550024698,0.11140586668868327,0.08820311826131866,0.12607597586304892,2.1236699610737153,-8.317059545811142,8.902709718825399
Cultivar-aware PLSR,RD,5,intercept,pooled,500,1231.0,0.45522613843149445,0.023358788460853618,0.4229888838307119,0.5105074167952611,-0.44488163194904806,0.15411353422470658,-0.83344138447126,-0.2403066300303121,0.18651632513206468,0.07700827285055506,0.26640116901752825,1.3483228119281083,-10.763865624560065,8.450543667329972
Cultivar-aware PLSR,RD,5,shrunken_affine,batch_macro,500,1231.0,0.43968679185496456,0.02236654352993458,0.40493842446453027,0.4953541245433454,-0.4636178621251979,0.1719015216336008,-0.883512948837626,-0.2211261277055157,0.10461507893452021,0.079980763675606,0.12293795385247015,5.458642828484454,-6.899659502340543,12.95625930341487
Cultivar-aware PLSR,RD,5,shrunken_affine,pooled,500,1231.0,0.43909084896097544,0.024503023504289765,0.4022879804458515,0.4988488578700547,-0.3450370027670834,0.1567919518449251,-0.7378066887605538,-0.12317885903906493,0.18725694337519824,0.07376528580961808,0.27242685860182175,4.84662311007844,-8.295093716571099,12.922505607455989
Cultivar-aware PLSR,RD,10,intercept,batch_macro,500,1206.0,0.43740837600753685,0.012249372794288947,0.42103244802436196,0.4681914225081645,-0.4396620075912507,0.09376625279943834,-0.6894310426875573,-0.32192775167518906,0.1169351104359229,0.09747061738092495,0.13136913442002485,5.966558619845214,-1.1061966043038243,9.500965821038958
Cultivar-aware PLSR,RD,10,intercept,pooled,500,1206.0,0.4359501532072625,0.013402251029978333,0.418687572861889,0.4693438588475873,-0.32461674467191903,0.08652333440539851,-0.5351141507540402,-0.22092953699471232,0.19636148063698772,0.10944554749051134,0.25354305386701353,5.468965861261587,-1.9098920876594736,9.207161765389277
