target,trait,model,cultivar_ascii,n,rmse,mae,bias,r2,pearson_r,ccc,rpd,rpiq,y_mean,y_sd
adhesive_force_g_mean,AF,global_pls,3.13,300,44.30464253858437,40.483045677514916,39.99066821887457,-10.817070622130641,0.49120471085069334,0.123013859277885,0.2913869634566135,0.357848173483669,38.68445742011228,12.909795256348808
adhesive_force_g_mean,AF,global_pls,A181,310,28.666580985422986,23.76096484479869,16.593065817528952,-1.4511489759332763,0.12882425844753603,0.08930125892065953,0.6397595144559589,0.915424908520928,76.45893583979601,18.339717932346634
adhesive_force_g_mean,AF,global_pls,Cuihongli,295,31.447974649633103,24.67159407909635,0.31744769482226354,-0.4696250896782199,-0.011676484248237617,-0.01081969424165734,0.8262929815715542,1.1435941144776907,106.02743629130423,25.98524073763199
adhesive_force_g_mean,AF,global_pls,Fengtangli,183,27.654874108540195,21.92745746150834,4.870906944313781,0.02281862398020862,0.37394147396691396,0.33842708323512455,1.0143836960132984,1.5981631880372196,68.50951194951885,28.052653411003472
adhesive_force_g_mean,AF,global_pls,Fengwei Huanghou,86,34.999051674703615,25.95372501693186,-22.05899328412974,-0.34471935452710767,0.4369260238015893,0.2358205874993273,0.8674090218688839,0.9592543366355023,115.47397264559014,30.358493179493188
adhesive_force_g_mean,AF,global_pls,Furongli,278,53.019243708555045,39.18063163075646,-26.225537406581804,-0.011833632812368489,0.5070210766510712,0.26564179539337435,0.9959280353259453,1.4511558134882823,141.80926585854257,52.803351221128715
adhesive_force_g_mean,AF,global_pls,Konglongdan,778,36.74029804858557,27.705618864785336,-7.1517945805580005,0.07253809932821575,0.33462334414685846,0.22404335150814406,1.0390375669520413,1.362777751945878,106.62807619586955,38.17454989349518
adhesive_force_g_mean,AF,global_pls,L31,216,26.945258267325144,22.696689070137996,18.476219311137893,-0.7140061829798738,0.3676365808285584,0.1980424915618572,0.7655991692229026,1.194490011946651,74.43171021251251,20.629267343960677
adhesive_force_g_mean,AF,global_pls,Naili,144,29.82779133136457,24.292427410298696,2.929786972247196,0.42242360209470087,0.6563433414060995,0.578351429934527,1.3204090988503272,1.9681240705082912,91.8440194881232,39.38488707254269
adhesive_force_g_mean,AF,global_pls,Qingcuili,329,49.73110769819231,36.24070352473695,-19.7981313788762,-0.12361832434750175,0.26533845593604144,0.1560858667549044,0.9448255316093204,1.3999220218290773,111.57698302838881,46.98722026846492
