trait,zero_ai_macro_rmse_mean,zero_ai_macro_r2_mean,zero_ai_macro_r2_ci025,zero_ai_macro_r2_ci975,zero_ai_macro_rmse_gain_pct_mean,zero_global_macro_rmse_mean,zero_global_macro_r2_mean,zero_global_macro_r2_ci025,zero_global_macro_r2_ci975,zero_global_macro_rmse_gain_pct_mean,zero_ai_pooled_rmse_mean,zero_ai_pooled_r2_mean,zero_ai_pooled_r2_ci025,zero_ai_pooled_r2_ci975,zero_ai_pooled_rmse_gain_pct_mean,shot40_ai_pooled_rmse_mean,shot40_ai_pooled_r2_mean,shot40_ai_pooled_r2_ci025,shot40_ai_pooled_r2_ci975,shot40_ai_pooled_rmse_gain_pct_mean,shot40_ai_macro_rmse_mean,shot40_ai_macro_r2_mean,shot40_ai_macro_r2_ci025,shot40_ai_macro_r2_ci975,shot40_ai_macro_rmse_gain_pct_mean,shot40_null_pooled_rmse_mean,shot40_null_pooled_r2_mean,shot40_null_pooled_r2_ci025,shot40_null_pooled_r2_ci975,shot40_null_pooled_rmse_gain_pct_mean,shot40_null_macro_rmse_mean,shot40_null_macro_r2_mean,shot40_null_macro_r2_ci025,shot40_null_macro_r2_ci975,shot40_null_macro_rmse_gain_pct_mean,zero_ai_rmse_gain_vs_global_macro_pct,shot40_ai_rmse_gain_vs_null_pooled_pct,shot40_ai_rmse_gain_vs_null_macro_pct
AF,42.08246599147999,-0.4997148836392387,-0.4997148836392387,-0.4997148836392387,0.0,40.51237042472452,-0.3608647391509219,-0.3608647391509219,-0.3608647391509219,0.0,44.60678558869698,-0.1328472238409863,-0.1328472238409863,-0.1328472238409863,0.0,37.82345867726568,0.1959256933045533,0.1464517446163511,0.2213920725647682,15.729190555978548,35.273190817998994,-0.0410806679047811,-0.0906636189278199,-0.0060566075234211,15.716061562620244,38.38628949923694,0.1718321416495317,0.1217487407836015,0.1952290774858368,0.0,35.396351126243125,-0.0307752276650832,-0.0797976355181922,-0.0043528739814615,0.0,-3.8755954052919206,1.4662287741628366,0.3479463400192673
F6,53.648870803801,-0.5305704786270492,-0.5305704786270492,-0.5305704786270492,0.0,53.411645305961954,-0.4901493704828256,-0.4901493704828256,-0.4901493704828256,0.0,55.780700001980335,-0.1925808099101718,-0.1925808099101718,-0.1925808099101718,0.0,47.58213114743963,0.1379084331412046,0.0840126782749135,0.161829858864541,14.999999536805232,44.69293800656018,-0.0155864452693013,-0.0652846688451995,0.0118181498577538,16.84592812664032,48.1378393686066,0.1176603170008661,0.0619926925887163,0.1415910841579355,0.0,45.17367049578275,-0.0302962004368832,-0.0804082812186394,-0.0039264937021111,0.0,-0.44414564741477314,1.1544103941012684,1.0641873550378156
LS,90.59005844373289,-0.2899090662465644,-0.2899090662465644,-0.2899090662465644,0.0,97.26847218191064,-0.4737662599593288,-0.4737662599593288,-0.4737662599593288,0.0,92.1191890510442,-0.0916178124550179,-0.0916178124550179,-0.0916178124550179,0.0,83.12928488293254,0.1132104869256994,0.0632095124540915,0.1388696875885393,9.853336846679566,81.1214413059886,-0.0217430892045005,-0.0746786766312495,0.0067237297293156,10.21802955020121,83.86168043002287,0.0975197514372052,0.0482513461487405,0.123771824531381,0.0,81.55791036169519,-0.0310710682992938,-0.0804476270684844,-0.0046070351654356,0.0,6.865959327178328,0.8733375521868703,0.5351645889049017
LW,785.7176408410079,-1.18674767671326,-1.18674767671326,-1.18674767671326,0.0,746.8725645912837,-0.7959065038864098,-0.7959065038864098,-0.7959065038864098,0.0,798.129013557398,-0.2555577154213946,-0.2555577154213946,-0.2555577154213946,0.0,624.5112877084973,0.2330157519514815,0.1930971688583731,0.2562621993506253,21.85583180726313,588.6998516498575,-0.0039047755618806,-0.0482384685725042,0.0204561990704734,23.57274308484966,633.395902810629,0.211033620765078,0.1678632601619304,0.2342440435964658,0.0,597.3949674235421,-0.0296573456661185,-0.0769659727697958,-0.0043520468504066,0.0,-5.2010313527826035,1.4026953857306457,1.455505360412579
MFF,53.08580381370715,-0.6403007403248029,-0.6403007403248029,-0.6403007403248029,0.0,52.66030408279912,-0.5833296894662101,-0.5833296894662101,-0.5833296894662101,0.0,55.71241696494652,-0.1495442923350938,-0.1495442923350938,-0.1495442923350938,0.0,47.10080580312099,0.1870827686585456,0.1454699389174287,0.2092133712902209,15.888339217943516,43.6479538756311,-0.0108556548846415,-0.0601411228371362,0.0189843030900219,18.011214825091056,47.7721912743113,0.1637415067497532,0.1186639680195572,0.1859542267108777,0.0,44.21651205614344,-0.0302249160321823,-0.0802911795141609,-0.0058701423938359,0.0,-0.8080084958093092,1.4053897325646214,1.2858503623949802
PFD,214.53612460083568,-0.8676408954172544,-0.8676408954172544,-0.8676408954172544,0.0,217.49570828815072,-0.8496223103413337,-0.8496223103413337,-0.8496223103413337,0.0,216.05080456485155,-0.2286686051765127,-0.2286686051765127,-0.2286686051765127,0.0,169.1859511194568,0.2463342011099122,0.2082305992747302,0.2688096296895728,21.66045783058793,164.8638681479177,-0.0192512019819702,-0.0659137380585162,0.007918888777723,22.12936126135894,171.40530708684938,0.2264308607154107,0.1853424351712757,0.2490732251816793,0.0,166.5506159842666,-0.0306830332637401,-0.0741684240455654,-0.0046251095632956,0.0,1.3607549825277565,1.2948000298894202,1.0127538864871166
PRW,603.755451775531,-0.5784386297225437,-0.5784386297225437,-0.5784386297225437,0.0,603.5148550542754,-0.3949239586308757,-0.3949239586308757,-0.3949239586308757,0.0,629.7797452017281,-0.1257482028673255,-0.1257482028673255,-0.1257482028673255,0.0,554.4958470103347,0.134175134894752,0.0865322400533208,0.1582593077352581,12.385049797198768,511.68702767640303,-0.0057396761481354,-0.0503452572755162,0.0239661902069734,15.512130042581983,560.9466847314789,0.1139113354413335,0.064070119661882,0.1386142084784355,0.0,518.9003925732084,-0.0304537684305851,-0.0762198977075819,-0.0068180696645643,0.0,-0.03986591535249939,1.1499912374439147,1.390125156975608
RD,0.4235948325391018,-0.3625265161839083,-0.3625265161839083,-0.3625265161839083,0.0,0.4813096679826084,-0.7187467475544335,-0.7187467475544335,-0.7187467475544335,0.0,0.4176679942400692,-0.2119442833943754,-0.2119442833943754,-0.2119442833943754,0.0,0.3846306745177167,-0.0347057019848324,-0.0910992351265669,0.0058786289883185,7.531909783423698,0.3893192327009385,-0.1312350257546306,-0.1929515431992561,-0.0871088528284346,6.867556502525511,0.3691524870346198,0.0469908413811472,0.000883269931115,0.0714301764397356,0.0,0.3730648927292143,-0.0300882843536298,-0.0725667421317955,-0.0052202575677921,0.0,11.99120634443438,-4.19289806427483,-4.356973890738702
SRF,221.4811411809785,-0.9118813678157148,-0.9118813678157148,-0.9118813678157148,0.0,227.99529346765289,-0.9370970994219474,-0.9370970994219474,-0.9370970994219474,0.0,221.9325539703605,-0.1827831250796152,-0.1827831250796152,-0.1827831250796152,0.0,176.26452027716465,0.25212995057147,0.2109256875297478,0.2747506212305711,20.486940775690776,172.26130340763558,-0.0562088962298921,-0.1047778834749905,-0.0271713919629693,20.82893728232922,175.18368904387387,0.2612710040490639,0.2239875319441022,0.2840069400113174,0.0,171.13363663753157,-0.0314918430039675,-0.0767184798060472,-0.0059135657281898,0.0,2.857143315372246,-0.6169702437423208,-0.6589392899377655
