target,trait,model,outer_fold,n,rmse,mae,bias,r2,pearson_r,ccc,rpd,rpiq,y_mean,y_sd
adhesive_force_g_mean,AF,global_pls,1,971,36.054570597474246,26.732048014307722,0.10996264224038392,0.373184280988741,0.6111539581935371,0.5508844213905292,1.2637285825955695,1.515673124443772,86.72437698214874,45.56319139723803
adhesive_force_g_mean,AF,global_pls,2,971,35.18231555526606,26.02548819239326,0.26323438441888924,0.3984515175061766,0.6313106725519502,0.5730866465824034,1.2899961972227383,1.6070640026471217,86.70029422583052,45.385053275783605
adhesive_force_g_mean,AF,global_pls,3,971,35.79425964083344,26.176198256399207,-2.116861208637583,0.40285485124614384,0.636417795255206,0.5720977974907135,1.2947436615993273,1.6482927582253581,88.5190211888608,46.344390791609705
adhesive_force_g_mean,AF,global_pls,4,970,36.56538474493074,27.0378226953987,-0.8280561964964513,0.3954188043289978,0.629153501456257,0.5629551187072881,1.2867573600538464,1.68437539906371,88.63490441317558,47.050777943740265
adhesive_force_g_mean,AF,global_pls,5,970,34.396202020277876,26.098372437154886,2.459986001199376,0.35195265457590563,0.6004909616755998,0.5551692078615782,1.2428554201148132,1.5897364038912143,85.15778581760055,42.749506112266445
adhesive_force_g_mean,AF,cultivar_aware_pls,1,971,31.686807694624786,23.078084235774753,0.09455378193358656,0.5158541649139068,0.7207520508661964,0.6992702623480184,1.4379230573285922,1.72459605885835,86.72437698214874,45.56319139723803
adhesive_force_g_mean,AF,cultivar_aware_pls,2,971,30.74041680491689,22.616256588036865,0.4596415174158681,0.5407583168883096,0.7368203639160626,0.7150509227011475,1.4763968089243449,1.8392799686956887,86.70029422583052,45.385053275783605
adhesive_force_g_mean,AF,cultivar_aware_pls,3,971,31.718631700256473,23.254617995458283,-1.549223116944947,0.5310980609129502,0.7312586765306717,0.7090882588416221,1.4611093955618195,1.860087140882149,88.5190211888608,46.344390791609705
adhesive_force_g_mean,AF,cultivar_aware_pls,4,970,31.949018841921756,23.27212523973315,-1.100424254986642,0.53843869654278,0.7352927709898476,0.7120558407904872,1.4726830321938653,1.9277535509430415,88.63490441317558,47.050777943740265
adhesive_force_g_mean,AF,cultivar_aware_pls,5,970,31.299942122088066,23.384151780857394,2.2008316642577856,0.4633726259171571,0.697070796191621,0.6852664771891657,1.3658014428754657,1.7469966651677764,85.15778581760055,42.749506112266445
adhesive_force_g_mean,AF,nested_rbf_svr,1,971,30.899855837899366,21.879143354049948,-0.23203999543472484,0.5396033760421197,0.7350266302468274,0.7082336696325584,1.4745438178178731,1.7685177547309667,86.72437698214874,45.56319139723803
adhesive_force_g_mean,AF,nested_rbf_svr,2,971,30.001495481275693,21.447507693329488,0.023803879231721503,0.5625709681677462,0.750132135286444,0.7230990481226819,1.5127596990659675,1.8845804834604802,86.70029422583052,45.385053275783605
adhesive_force_g_mean,AF,nested_rbf_svr,3,971,30.97956850497734,21.8900331337915,-1.699836857802722,0.5526948799858205,0.7449895348089126,0.7039617251840077,1.495966310317194,1.9044622568756828,88.5190211888608,46.344390791609705
adhesive_force_g_mean,AF,nested_rbf_svr,4,970,31.52014813652288,22.11575883328069,-1.0561409782561038,0.5507471509331798,0.7434080783519098,0.7002687501788125,1.4927207112082637,1.95398302872491,88.63490441317558,47.050777943740265
adhesive_force_g_mean,AF,nested_rbf_svr,5,970,30.05886044958413,22.38823503328231,2.461482646765657,0.5050848158988654,0.7187868487730906,0.7016436751489845,1.4221931727574153,1.8191273284942107,85.15778581760055,42.749506112266445
