target,trait,candidate,baseline,candidate_rmse,baseline_rmse,rmse_delta_baseline_minus_candidate,rmse_delta_ci_low,rmse_delta_ci_high,relative_rmse_improvement_pct,relative_improvement_ci_low,relative_improvement_ci_high,bootstrap_probability_candidate_better,cluster_bootstrap_iterations,clusters,claim_status
adhesive_force_g_mean,AF,plumspectra_corrected,cultivar_mean_null,30.10587966422329,32.0586082114871,1.9527285472638063,0.8597666875445766,2.92556987033589,6.091120782230696,3.431192816878858,8.546630028632038,0.999465,200000,15,supported_outperformance
adhesive_force_g_mean,AF,plumspectra_corrected,no_neural_b50,30.10587966422329,30.66904506377843,0.5631653995551389,0.30514124352934413,0.8240277334269012,1.836266497323269,0.926777156207807,3.2327347610504216,1.0,200000,15,supported_outperformance
adhesive_force_g_mean,AF,residual_cnn,nested_rbf_svr,30.241545711842313,30.697447967387074,0.4559022555447605,-0.14838843641773963,1.0622669978371841,1.4851470911494302,-0.5944075703693424,3.295221328375725,0.932655,200000,15,statistical_parity
adhesive_force_g_mean,AF,plumspectra_corrected,residual_cnn,30.10587966422329,30.241545711842313,0.13566604761902212,-0.17550062205281555,0.5125722272485166,0.4486081793295904,-0.5360658304668686,2.1330080331776555,0.790145,200000,15,statistical_parity
adhesive_force_g_mean,AF,plumspectra_fixed_gate_sensitivity,plumspectra_corrected,30.22055602996611,30.10587966422329,-0.11467636574282025,-0.18458194925732715,-0.04325922518878634,-0.3809101976817386,-0.7295555117070868,-0.13635489882866286,0.001035,200000,15,supported_inferiority
flesh_force_mean_g_mean,MFF,plumspectra_corrected,cultivar_mean_null,38.92281953082825,40.29667419364077,1.3738546628125192,0.8034730161564759,2.0322738489003815,3.4093500029571344,2.2011306449851054,5.076353719894712,1.0,200000,15,supported_outperformance
flesh_force_mean_g_mean,MFF,plumspectra_corrected,no_neural_b50,38.92281953082825,39.52787645602635,0.6050569251980988,0.24172266874376325,0.9043431729351534,1.5307094118026,0.6974376103209016,2.0956320169414036,1.0,200000,15,supported_outperformance
flesh_force_mean_g_mean,MFF,residual_cnn,nested_rbf_svr,39.08114250711781,39.81605466656293,0.7349121594451162,0.26527510281507,1.2352188265948607,1.8457684107568983,0.6443696451979656,3.437949724412419,0.99923,200000,15,supported_outperformance
flesh_force_mean_g_mean,MFF,plumspectra_corrected,residual_cnn,38.92281953082825,39.08114250711781,0.15832297628956127,-0.1019021548493324,0.4056606290507204,0.4051134796295375,-0.24713047666280685,1.1641188217151583,0.88783,200000,15,statistical_parity
flesh_force_mean_g_mean,MFF,plumspectra_fixed_gate_sensitivity,plumspectra_corrected,39.1318645630823,38.92281953082825,-0.20904503225405335,-0.3052109756072607,-0.08362486830241178,-0.5370757688519578,-0.7333297817420986,-0.24698579360120665,5e-06,200000,15,supported_inferiority
force_at_6_rawpos_g_mean,F6,plumspectra_corrected,cultivar_mean_null,45.633245130781795,46.205609224055706,0.5723640932739116,0.054248477966424256,1.071709648465043,1.2387329220105325,0.12399656140629157,2.213831178389108,0.98517,200000,15,supported_outperformance
force_at_6_rawpos_g_mean,F6,plumspectra_corrected,no_neural_b50,45.633245130781795,46.29738877217096,0.6641436413891668,0.38197548137107357,0.9232274232076985,1.4345164144297873,0.8605453006028749,1.9770654088177912,1.0,200000,15,supported_outperformance
force_at_6_rawpos_g_mean,F6,residual_cnn,nested_rbf_svr,45.57285657984973,46.23756899708218,0.664712417232451,-0.27558680975077615,1.572654444712113,1.4376024338009552,-0.6413678962992636,3.208947342932123,0.913755,200000,15,statistical_parity
