cultivar_ascii,fruits,batches
3.13,300,1
A181,310,1
Cuihongli,295,1
Fengtangli,183,1
Fengwei Huanghou,86,1
Furongli,278,1
Konglongdan,778,3
L31,216,1
Naili,144,1
Qingcuili,329,1
Weidi,681,1
Weijin,320,1
Weiwang,478,2
Weixin,191,1
Zaoshu Konglongdan,264,1
