component,explained_variance_ratio,cumulative_explained_variance
1,0.7443700897489697,0.7443700897489697
2,0.1330941392734133,0.877464229022383
3,0.07621648162631392,0.9536807106486969
4,0.02230943743804549,0.9759901480867423
5,0.010758194600216096,0.9867483426869584
6,0.006858917280311986,0.9936072599672704
7,0.005153835934357217,0.9987610959016276
8,0.000999130186305418,0.999760226087933
9,0.0002397739120669384,1.0
