,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
SRF,0.3253410960632467,0.4645528939245824,-0.20101921756978464,0.04247068942267107,-0.11931905629505218,-0.015052637720592957,-0.12681922982461852,-0.3556870915591502,0.6921497319320803
RD,-0.22830637464106585,0.5208694192282123,0.6724099622460128,-0.018812345434469958,0.3000768436203284,0.23774101666939565,0.2704807658275366,0.009205665856657108,0.06535054469580365
PFD,0.29077753379789417,0.5696239402240382,-0.23748710577520346,0.02219376438233193,0.02869310793993897,-0.1569982850677262,-0.10925288507332748,0.6492297063349153,-0.27418450636950603
MFF,0.3651901793495054,-0.1565767523790259,0.1741105169587304,0.2726205085044328,0.08964407942370885,0.6867275515081047,-0.49807226149911604,0.08550201859267532,-0.049659600420816116
F6,0.33665081235339744,-0.152226047837747,0.3972127599098333,0.664357840552288,-0.024988540483407096,-0.5030100722925722,0.0986250841555988,0.013344349940096534,0.028206472301927188
LS,0.3639374686388584,0.011825304545314386,-0.3270352019746231,0.17573788098872112,0.15283326411518855,0.3280965629774157,0.7126843679816248,-0.2011185078865872,-0.224055419730412
LW,0.35802769908535875,0.1795051844163147,0.2901388623580573,-0.3532633023012632,-0.41255221335931846,-0.09355087238359766,-0.11380331057837642,-0.43436173631972663,-0.5000461271756801
PRW,0.3460982926598907,-0.2854242280771002,0.2651812355009481,-0.4134179674529048,-0.31980247803625467,0.09317142321560598,0.32178021979366495,0.45375313200867684,0.3703032873868481
AF,0.3610565291250115,-0.16400071805820945,0.03885707447588979,-0.3937807914070381,0.7683762801045757,-0.2625076537608103,-0.12886135477025756,-0.09697109449192928,0.029116066081688957
