shots,median_resample,q025,q975,repeats
0,0.0,0.0,0.0,1
5,9.743316861086155,5.074762130632414,13.547959873685722,500
10,13.540063002156938,9.760872615989175,15.714891605184464,500
20,15.350934971881292,12.83755028098361,17.00277467623102,500
40,16.495378613063394,14.90408604404272,17.426284358471587,500
80,16.976093676917667,15.666611297668618,17.910977402585534,500
