sample_id,cultivar_code,trait,value
A181_B01-0295,LA191,AF,93.11647975612823
A181_B01-0310,LA191,AF,70.45412719967749
A181_B01-0313,LA191,AF,59.30605490021916
A181_B01-0321,LA191,AF,95.14177932955813
A181_B01-0322,LA191,AF,67.29748005313448
A181_B01-0329,LA191,AF,83.32197870506974
A181_B01-0331,LA191,AF,59.69635940085665
A181_B01-0338,LA191,AF,72.52107511921199
A181_B01-0349,LA191,AF,58.78812796758969
L31_A96_B01-0006,L31,AF,88.32111893446205
L31_A96_B01-0007,L31,AF,57.464156793742774
L31_A96_B01-0013,L31,AF,98.52005517501495
L31_A96_B01-0014,L31,AF,48.30925534357651
L31_A96_B01-0016,L31,AF,37.90326732524641
L31_A96_B01-0027,L31,AF,80.33713098620827
L31_A96_B01-0028,L31,AF,111.03136708893311
L31_A96_B01-0041,L31,AF,89.5002133615022
L31_A96_B01-0043,L31,AF,91.85453486915853
L31_A96_B01-0047,L31,AF,92.42734837219017
L31_A96_B01-0050,L31,AF,62.52472833363938
L31_A96_B01-0062,L31,AF,98.66746057140662
L31_A96_B01-0063,L31,AF,43.79174848806538
L31_A96_B01-0071,L31,AF,65.28571619218857
L31_A96_B01-0079,L31,AF,52.77187562868551
L31_A96_B01-0080,L31,AF,97.14327984807112
L31_A96_B01-0083,L31,AF,78.73441338164693
L31_A96_B01-0086,L31,AF,77.1810788160382
L31_A96_B01-0087,L31,AF,99.98994430432124
L31_A96_B01-0090,L31,AF,52.3094302428311
L31_A96_B01-0098,L31,AF,101.14226479457986
L31_A96_B01-0103,L31,AF,72.86854132099903
L31_A96_B01-0106,L31,AF,34.56678856998744
L31_A96_B01-0114,L31,AF,46.61476263349179
L31_A96_B01-0124,L31,AF,43.4184008140562
L31_A96_B01-0129,L31,AF,77.20547284732804
L31_A96_B01-0135,L31,AF,125.98133841136942
L31_A96_B01-0150,L31,AF,72.68528859813875
L31_A96_B01-0159,L31,AF,94.52255766943851
L31_A96_B01-0167,L31,AF,87.77656680914427
L31_A96_B01-0169,L31,AF,48.955994660943816
L31_A96_B01-0171,L31,AF,94.49191638623299
L31_A96_B01-0180,L31,AF,87.87845651300734
L31_A96_B01-0201,L31,AF,57.35884597573539
L31_A96_B01-0205,L31,AF,68.20229037225715
L31_A96_B01-0209,L31,AF,103.40079510619557
L31_A96_B01-0213,L31,AF,48.32293980015375
L31_A96_B01-0216,L31,AF,49.74656951646526
L31_A96_B01-0217,L31,AF,43.61712292261248
L31_A96_B01-0221,L31,AF,57.25130399632957
L31_A96_B01-0223,L31,AF,69.35133849246469
L31_A96_B01-0235,L31,AF,69.91433488534308
L31_A96_B01-0241,L31,AF,80.51874752404301
L31_A96_B01-0248,L31,AF,58.93493838760843
WD_B01-0009,WD,AF,26.021737902067258
WD_B01-0010,WD,AF,38.70975779874354
WD_B01-0013,WD,AF,32.144491011724654
WD_B01-0015,WD,AF,38.4145007736805
WD_B01-0026,WD,AF,31.494330580213045
WD_B01-0030,WD,AF,26.89293205611977
WD_B01-0033,WD,AF,31.743774424561018
WD_B01-0035,WD,AF,33.128730676632536
WD_B01-0040,WD,AF,21.44622085019613
WD_B01-0045,WD,AF,26.811569037122545
WD_B01-0051,WD,AF,42.73626040249997
WD_B01-0053,WD,AF,40.69906130161161
WD_B01-0054,WD,AF,25.316839644246727
WD_B01-0063,WD,AF,30.473946100650096
WD_B01-0072,WD,AF,41.58408865633457
WD_B01-0080,WD,AF,23.72036929160108
WD_B01-0087,WD,AF,22.511823534101225
WD_B01-0092,WD,AF,30.63101986310177
WD_B01-0101,WD,AF,22.684961658621823
WD_B01-0106,WD,AF,22.53383765989938
WD_B01-0108,WD,AF,39.10348341352534
WD_B01-0116,WD,AF,47.398644004817854
WD_B01-0120,WD,AF,44.90524676999078
WD_B01-0130,WD,AF,40.6647014160753
WD_B01-0131,WD,AF,37.04352646637267
WD_B01-0138,WD,AF,26.608087117582876
WD_B01-0148,WD,AF,30.793299668816516
WD_B01-0161,WD,AF,24.220446933042865
WD_B01-0163,WD,AF,46.388225379501364
WD_B01-0165,WD,AF,35.7405282096713
WD_B01-0168,WD,AF,32.53137439821784
WD_B01-0172,WD,AF,47.88592965424179
WD_B01-0174,WD,AF,27.452358590760618
WD_B01-0175,WD,AF,28.866171196918906
WD_B01-0176,WD,AF,26.34912365126814
WD_B01-0181,WD,AF,27.419634890249853
WD_B01-0184,WD,AF,22.07912696689297
WD_B01-0195,WD,AF,50.45593009708271
WD_B01-0197,WD,AF,32.99694341003009
WD_B01-0208,WD,AF,26.335736682877375
WD_B01-0224,WD,AF,27.84489425279657
WD_B01-0226,WD,AF,25.445800773077792
WD_B01-0227,WD,AF,33.367167458081425
WD_B01-0240,WD,AF,27.778703131308887
WD_B01-0245,WD,AF,32.773827270183965
