trait,cultivar_code,n,rmse_reduction_pct,r2_within,pearson_r
AF,CHL,295,3.730647160341223,0.04338621457800351,0.2566223098707006
AF,FRL,278,-0.445353733331233,0.1571541199374491,0.44459792589927716
AF,FTL,183,6.623272232870542,0.10595461328755562,0.33082620491000425
AF,FWHH,86,3.7230029559110607,0.15548629491175947,0.4276040989895789
AF,KLD,778,3.841285456843815,0.1441166765431715,0.39443605478928656
AF,L31,216,1.7612655408710192,0.028899291776091074,0.2289576973017831
AF,L313,300,21.19490018916826,-0.17749078409627206,0.46708805275396775
AF,LA191,310,5.436187483488759,0.010847444470246104,0.30867989790296296
AF,NL,144,1.542481484600687,0.45951678998418033,0.7294848580142675
AF,QCL,329,0.2461763211318833,0.08822321219306006,0.3021748986360535
AF,WD,681,34.968230110327006,-0.48609600271818754,0.5420153221657004
AF,WJ,320,13.632184527053067,-0.0364423256034232,0.1888589192015374
AF,WW,478,2.7106443113009964,0.09742546761097881,0.33918784316176787
AF,WX,191,6.974706042914092,0.04858279171021529,0.23747446492025942
AF,ZSKLD,264,12.657123713869721,0.04021589743595555,0.32215447168722544
F6,CHL,295,2.1908825614586167,0.05765588043447134,0.254039652060229
F6,FRL,278,0.05310640031503723,0.051349474718507926,0.3378773557308673
F6,FTL,183,1.1571762141918491,0.021804529268427464,0.16572535458834303
F6,FWHH,86,-0.23692784322851107,0.04798248156622065,0.3142607588492624
F6,KLD,778,4.323450235872226,0.022700550901538663,0.16598106724605985
F6,L31,216,3.193820637956208,-0.0003038286297321058,0.08155801918091159
F6,L313,300,7.676268192582156,0.044527433407672734,0.22698323411145166
F6,LA191,310,4.883215637825133,0.03176662959908039,0.17893914691848403
F6,NL,144,-0.30861109998483344,0.018047340641536014,0.14080949741492235
F6,QCL,329,1.2415695071700905,0.021539453338536574,0.1600999927510872
F6,WD,681,3.7961577121423233,-0.031561133144651476,-0.08907223947139185
F6,WJ,320,4.395876067757935,-0.023681179193737245,-0.09540962096037356
F6,WW,478,2.9542170888659767,0.055792006772583225,0.3329978237412771
F6,WX,191,6.950193390395695,0.008755108750579388,0.10592551983659014
F6,ZSKLD,264,6.5715334360249145,-0.014007169921750107,0.06478752390694939
FW,CHL,295,8.483597764363884,-0.4910277703305008,0.2083592217192088
FW,FRL,276,1.0539257906547552,0.016030618471544078,0.14693792835595798
FW,FTL,183,2.687876225107828,-0.4972343992000896,0.11404451268232095
FW,FWHH,86,0.808288073344641,0.07533166789186174,0.27704948553234665
FW,KLD,773,1.3033132282204634,0.09519014598717834,0.3346694807585615
FW,L31,216,2.5714922186545945,-0.35207560929018444,0.061172837240160746
FW,L313,300,10.61723044183806,-0.723832676756285,0.072148835119182
FW,LA191,310,0.11691631808778467,0.011759103637693835,0.1319675396395657
FW,NL,144,-0.28455059850235787,0.18622085454987347,0.45420846394360037
FW,QCL,329,6.070004255804032,-0.1835066270813459,0.10622049245715184
FW,WD,681,2.7438317225107336,0.10090324971554676,0.3203110845594157
FW,WJ,317,2.9740131308212887,0.05586513040040886,0.2997883095539315
FW,WW,478,1.335643783349698,0.06294749552920664,0.25827371542128136
FW,WX,191,0.8466042024036907,0.045478876695242754,0.21428013057325368
FW,ZSKLD,264,2.510717922248336,-0.0979143814357295,0.001719567331391309
LS,CHL,295,3.524673173561695,0.03267080846131298,0.18425652904075615
LS,FRL,278,3.8634981227096374,0.15167819067042565,0.4610641116822573
