trait,n,mean,sd,range,iqr,rmse,mae,r2,mae_mean_pct,rmse_mean_pct,mape,med_ape,p5,p10,p15,p20,rpiq
FW,4843,61.093741276068556,29.289621653212862,140.81,47.66,12.16515743624244,9.0420159396338,0.8274568875155444,14.800232807440963,19.912280999899636,16.276481607596857,12.900947853239542,20.400578154036754,39.68614495147636,56.803634111088165,70.14247367334296,3.917746256041974
SSC,4843,13.634761511459837,2.587394505331111,18.200000000000003,3.0,1.5761790361608938,1.1808284944556744,0.6288277712376654,8.660426465568932,11.560004440386699,9.080616627458024,6.967469709542922,38.67437538715672,66.57030766054099,83.8323353293413,91.86454676853191,1.903337077307609
pH,4843,4.497560189964898,0.5347686925813673,2.9499999999999997,0.8599999999999994,0.36121948404371385,0.2876307179893157,0.5436478807102778,6.395261115817565,8.031454139283749,6.561275254922293,5.357771890086694,46.97501548626884,78.75283914928764,92.19492050381994,97.62543877761718,2.3808239532724778
SRF,4853,812.1954444335153,289.3797250353574,1573.2854681319518,393.2475807761639,163.48841317306588,126.10296777319225,0.6807526823493627,15.52618506265394,20.129196032008615,17.376932200897453,13.48526468428374,19.822790026787555,38.61528951164228,55.20296723676077,68.53492684937153,2.4053544416011863
RD,4853,2.480194724912425,0.830771282385613,6.887499999999999,0.9514999999999958,0.49707189113567396,0.3732058557251714,0.6419324557951454,15.047441718042892,20.041647784458753,15.652936828115447,12.48525990834897,21.73913043478261,40.758293838862556,57.758087780754174,71.11065320420359,1.9142100307182475
PFD,4853,725.5477696827,266.18655305880725,1527.0403122705275,375.58985406169006,158.6578469929512,121.40110208401413,0.644663036053281,16.732337574010575,21.86731923417478,18.564311104960247,14.268965855185842,18.586441376468162,36.26622707603544,52.1533072326396,65.7531423861529,2.367294534624415
MFF,4853,96.81548030235781,60.09986269246032,360.6426686692367,87.52590388923011,38.92281953082825,28.659381298876493,0.5804814926944271,29.594461659194906,40.19276893175695,85.37938745946701,26.142944998950433,10.055635689264372,20.33793529775397,29.404492066762828,38.80074180919019,2.248704100685884
F6,4853,96.09704727110878,64.65271444941803,830.6648063281164,90.18820858174132,45.633245130781795,30.875154610980005,0.5017140059107801,32.10870391160149,47.45642167274302,212.51109011203857,28.07257744709754,9.643519472491242,19.472491242530392,28.806923552441788,37.02864207706573,1.9763706991091257
LS,4853,301.4268072552299,132.96978429010736,719.2397941895383,191.40097530022132,70.50224977963614,52.30294719959388,0.7188167007324616,17.35179019937232,23.38950885676838,19.22945852628525,14.700724160704109,18.380383268081598,35.27714815577993,50.89635277148156,63.527714815577994,2.714820816335219
LW,4853,2027.2105962749445,794.9530328869223,4914.807741246057,1060.8363480162225,534.9446007908733,408.01357146417524,0.5470772088537507,20.126846821633208,26.38821056745899,22.786289616539555,17.14919952488528,15.90768596744282,30.764475582114155,44.590974654852666,56.68658561714403,1.983077026009534
PRW,4853,952.363172368954,640.6275930035869,4409.201428900288,845.6396040403979,413.5152471591815,295.323548383356,0.5832637561767886,31.009551497959965,43.419911558589966,49.02803976932861,27.37933602591131,9.746548526684524,19.01916340407995,27.87966206470225,37.5643931588708,2.0450022335328093
AF,4853,87.14737993842665,45.44208574879911,333.1710019629996,57.61141344604122,30.10587966422329,21.262536044222767,0.5609887715855021,24.39836522824399,34.54593779582861,25.898034832825797,20.369877761457474,13.558623531835979,25.777869359159283,37.646816402225426,49.062435606841134,1.9136266433199254
