sample_id,cultivar_code,PC1,PC2
A181_B01-0081,LA191,-1.3012641651344523,-0.2893019410621076
A181_B01-0083,LA191,-2.0127476910441096,-0.2967804915539616
A181_B01-0084,LA191,-0.5004731669144044,-0.13336305693300013
A181_B01-0085,LA191,-1.7383229058268859,-0.20037185160410997
A181_B01-0087,LA191,0.42980873841576434,-0.38294888011394873
A181_B01-0088,LA191,-2.010138981603501,-0.35031599774350053
A181_B01-0090,LA191,-2.0552787049049486,-0.6477644364618349
A181_B01-0091,LA191,-0.31326880464458745,-0.0749852283118869
A181_B01-0092,LA191,-1.1793844385547534,-0.7627113336771194
A181_B01-0093,LA191,-1.0116486125859707,0.3691296782506987
A181_B01-0094,LA191,-0.6165952683506433,-0.8637787275004737
A181_B01-0095,LA191,0.044446175691426004,-0.15655728688616088
A181_B01-0096,LA191,-0.41873492124513556,0.6404128839470374
A181_B01-0097,LA191,-1.4790806711226667,-0.025470891949444806
A181_B01-0098,LA191,-2.3725564256537965,-0.11004541663811104
A181_B01-0099,LA191,-1.2648459218907848,-0.3078809245435981
A181_B01-0100,LA191,-0.011781460826165921,-0.6930630118897249
A181_B01-0101,LA191,-2.050242543250734,0.04874002829220025
A181_B01-0102,LA191,-2.3824241800567303,-0.08846665626358907
A181_B01-0103,LA191,-0.849285661338727,0.18548579760270828
A181_B01-0104,LA191,-1.6201422221005994,0.08385149076062562
A181_B01-0105,LA191,-0.5994275513198861,1.0165435812087005
A181_B01-0106,LA191,-1.632822436347093,0.5713270578456922
A181_B01-0107,LA191,-0.22020105481226473,-0.7498031387277239
A181_B01-0108,LA191,-0.7922756006537994,0.7532468760695347
A181_B01-0109,LA191,-1.8903591706093739,-0.8303652230948605
A181_B01-0110,LA191,0.044370323047879336,0.39261818227392364
A181_B01-0111,LA191,-2.148381351921875,0.08835853958510535
A181_B01-0112,LA191,-2.5227393727852707,0.6953857037706087
A181_B01-0113,LA191,-1.3167639369946593,0.010608530493138486
A181_B01-0114,LA191,-0.9939761831648116,0.7394798677354286
A181_B01-0115,LA191,0.929346960014192,1.0101783928838495
A181_B01-0116,LA191,-1.9859050894368342,-0.3502536747048143
A181_B01-0117,LA191,-0.04446924287981825,0.7809330933976116
A181_B01-0118,LA191,0.10890901064350761,0.2923538021795505
A181_B01-0119,LA191,-0.9336999491483946,-0.3665948378118362
A181_B01-0120,LA191,-0.6698550209981252,-0.4388098988397025
A181_B01-0121,LA191,0.7637291807400112,0.9708718444084201
A181_B01-0122,LA191,1.8378668248262404,-0.0032294213529212093
A181_B01-0123,LA191,-0.40320634328303645,-0.4612137395031195
A181_B01-0124,LA191,-1.3612800330358235,-0.6991513638326848
A181_B01-0125,LA191,0.29456567955763974,0.2914063669012314
A181_B01-0126,LA191,1.2136935398032085,0.4121035505856091
A181_B01-0127,LA191,1.1393217892572172,-0.0834861243863739
A181_B01-0128,LA191,-2.2446196199890593,1.1880567511680562
A181_B01-0129,LA191,-0.5726840058950436,-1.5152593033704962
A181_B01-0130,LA191,-1.2334900909774502,0.37719596135637135
