trait,global_pls_rmse,cultivar_mean_null_rmse,global_pls_r2,cultivar_mean_null_r2,global_pls_worse_than_null
FW,25.057957946502505,12.55209634929631,0.2679284785680088,0.8163061194014027,True
SSC,1.8078844296519452,2.0007912191946,0.5116786531958772,0.4019080922753122,False
pH,0.4458123623435135,0.3650476696820776,0.3048765329422834,0.533923831934445,True
SRF,229.94833955816372,168.11516191980152,0.3684411058106701,0.6624274951447663,True
RD,0.5857826877578681,0.5556373450183286,0.5027215804514463,0.5525861717933656,True
PFD,219.9356653679575,161.8481493066261,0.3171762833674288,0.63022908354056,True
MFF,48.39856383774376,40.29667419364077,0.3513543812600557,0.5503434256832214,True
F6,55.071855493168016,46.205609224055706,0.2742694751044323,0.4891359126498487,True
LS,99.23139918734446,74.30839302757428,0.4429658761887574,0.687637198226805,True
LW,662.7463892176456,546.0480863094796,0.3048135501789419,0.5280800504334826,True
PRW,528.1971292169376,430.8673167725489,0.3200604697648271,0.5475554906086592,True
AF,35.60645577316392,32.0586082114871,0.3859121868987608,0.5021914936014892,True
